date,geography,geography code,Total,White: Total,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Roma,White: Other White,Mixed/multiple ethnic groups: Total,Mixed/multiple ethnic groups: White and Black Caribbean,Mixed/multiple ethnic groups: White and Black African,Mixed/multiple ethnic groups: White and Asian,Mixed/multiple ethnic groups: Other Mixed,Asian/Asian British: Total,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: Total,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Total,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
2021,Camberwell and Peckham,E14000615,128034,57380,42512,2286,88,350,12144,9580,3180,1534,1762,3104,9852,1514,759,1936,2215,3428,42895,25819,10976,6100,8327,893,7434
2021,Camborne and Redruth,E14000616,95444,92517,89258,324,254,30,2651,1095,266,145,352,332,534,98,48,41,175,172,157,88,47,22,1141,62,1079
2021,Cambridge,E14000617,133748,100170,70633,1738,109,856,26834,6796,1001,911,2786,2098,19341,5254,1345,2623,5748,4371,3238,2253,594,391,4203,1045,3158
2021,Cannock Chase,E14000618,100523,97131,95019,315,33,30,1734,1422,732,113,346,231,1208,498,118,68,246,278,472,194,212,66,290,27,263
2021,Canterbury,E14000619,113389,98396,89092,995,344,161,7804,3639,803,564,1192,1080,5570,1716,501,389,1178,1786,3681,2790,590,301,2103,642,1461
2021,Carlisle,E14000620,88211,85109,81077,353,127,84,3468,802,134,142,280,246,1482,383,122,173,327,477,292,236,36,20,526,187,339
2021,Carshalton and Wallington,E14000621,104684,71798,61957,1394,76,114,8257,5280,1641,692,1396,1551,16671,5580,2762,845,1506,5978,7753,4569,2237,947,3182,484,2698
2021,Castle Point,E14000622,89582,84981,82997,528,31,32,1393,1446,512,155,419,360,1550,541,164,189,264,392,1179,827,190,162,426,32,394
2021,Central Devon,E14000623,95461,93322,90235,415,108,46,2518,1141,192,134,447,368,540,143,18,31,140,208,164,107,29,28,294,48,246
2021,Central Suffolk and North Ipswich,E14000624,103129,97002,93322,361,94,45,3180,2345,975,361,459,550,2007,672,151,308,285,591,1088,498,383,207,687,86,601
2021,Charnwood,E14000625,104920,84499,81493,637,31,46,2292,2682,904,257,954,567,15294,13425,426,174,440,829,1265,820,320,125,1180,153,1027
2021,Chatham and Aylesford,E14000626,102562,89774,83388,565,460,225,5136,2578,799,533,642,604,4017,1727,500,743,300,747,4983,3644,702,637,1210,154,1056
